text,label
"Sản phẩm tuyệt vời, chất lượng vượt mong đợi!","tích cực"
"Dịch vụ khách hàng quá tệ, không ai trả lời.","tiêu cực"
"Ổn, nhưng không có gì nổi bật.","trung tính"
"Giao hàng nhanh, đóng gói cẩn thận, rất hài lòng!","tích cực"
"Giá quá cao, không đáng tiền chút nào.","tiêu cực"
"Chất lượng tạm được, cần cải thiện thêm.","trung tính"
"Thất vọng, sản phẩm bị lỗi ngay lần đầu sử dụng.","tiêu cực"
"Thiết kế đẹp, dùng thích mê!","tích cực"
"Không tệ, nhưng cũng chẳng đặc biệt.","trung tính"
"Hỗ trợ nhiệt tình, giải quyết vấn đề nhanh chóng.","tích cực"
"Máy chạy ì ạch, không như quảng cáo.","tiêu cực"
"Bình thường, đúng như kỳ vọng.","trung tính"
"Mua lần thứ hai, vẫn ưng ý như lần đầu!","tích cực"
"Chờ ship cả tuần, chán quá.","tiêu cực"
"Cũng được, nhưng giá hơi đắt.","trung tính"
"Không bao giờ quay lại, trải nghiệm kinh khủng.","tiêu cực"
"Đội ngũ hỗ trợ siêu dễ thương, rất chuyên nghiệp!","tích cực"
"Chất lượng trung bình, không có gì đáng khen.","trung tính"
"Rất đáng đồng tiền, sẽ giới thiệu cho bạn bè!","tích cực"
"Sản phẩm hỏng, liên hệ không được hỗ trợ.","tiêu cực"
"Ổn áp, dùng được, không phàn nàn.","trung tính"
"Quá tuyệt, mọi thứ đều hoàn hảo!","tích cực"
"Đặt hàng sai màu, liên hệ thì bị từ chối đổi.","tiêu cực"
"Chấp nhận được, không quá tệ.","trung tính"
"Siêu thích, sản phẩm đúng như mô tả!","tích cực"
"Chất lượng kém, nhanh hỏng sau vài ngày.","tiêu cực"
"Không có ý kiến gì, bình thường thôi.","trung tính"
"Giao hàng đúng hẹn, rất hài lòng với dịch vụ.","tích cực"
"Giá rẻ nhưng chất lượng cũng rẻ luôn.","tiêu cực"
"Được, nhưng cần cải thiện bao bì.","trung tính"
"Trải nghiệm mua sắm tuyệt vời, sẽ quay lại!","tích cực"
"Đặt hàng mãi không thấy giao, quá thất vọng.","tiêu cực"
"Ổn, không có gì để chê cả.","trung tính"
"Sản phẩm đẹp, đúng như hình quảng cáo!","tích cực"
"Hàng lỗi, đổi trả thì phức tạp.","tiêu cực"
"Chất lượng trung bình, giá cả hợp lý.","trung tính"
"Rất ưng ý, dịch vụ chăm sóc khách hàng tốt!","tích cực"
"Sản phẩm không giống mô tả, cảm thấy bị lừa.","tiêu cực"
"Bình thường, dùng tạm được.","trung tính"
"Đỉnh cao, xài thích lắm!","tích cực"
"Chậm trễ giao hàng, không thông báo trước.","tiêu cực"
"Không tệ, giá cả phải chăng.","trung tính"
"Chất lượng tốt, rất đáng mua!","tích cực"
"Dịch vụ hỗ trợ kém, không giải quyết được vấn đề.","tiêu cực"
"Ổn, nhưng kỳ vọng cao hơn một chút.","trung tính"
"Thích lắm, sẽ mua thêm sản phẩm khác!","tích cực"
"Sản phẩm hư hỏng, không ai chịu trách nhiệm.","tiêu cực"
"Chấp nhận được, không quá xuất sắc.","trung tính"
"Siêu hài lòng, mọi thứ đều tuyệt vời!","tích cực"
"Quá chán, không đúng như kỳ vọng.","tiêu cực"
